1;#04A3CD;20
1;#E93572;30
1;#FFAB02;50
2;#3A00B7;20
2;#FF00DA;20
2;#FD0172;60
3;#061336;10
3;#44BCD4;60
3;#F0D605;10
3;#EBEBEB;20
4;#050006;10
4;#E0E2E1;10
4;#EEE200;60
4;#DA0902;20
5;#DCA7D5;10
5;#D6AD6D;50
5;#009B85;30
5;#9C013B;10
6;#233922;10
6;#D21F00;30
6;#00C0F1;60
7;#CCE002;60
7;#DF480F;20
7;#37B815;20
8;#DAD6D5;50
8;#E6C941;20
8;#03D733;20
8;#CE3843;10
9;#772307;20
9;#FF8025;40
9;#01DAAF;40
10;#C91901;10
10;#D0489C;30
10;#8E64B8;50
10;#C1C70D;10
11;#FE40D6;50
11;#00C4E7;30
11;#1ABD02;20
12;#CBD900;70
12;#D85B18;30
13;#FE2B58;40
13;#BFB5B4;30
13;#335D5C;30
14;#432771;10
14;#C6E643;20
14;#FFA54D;30
14;#F05B95;40
15;#F4D002;10
15;#C2CFBE;20
15;#F9D0D4;60
15;#EC0026;10
16;#0F0905;10
16;#3F423B;20
16;#6B6764;30
16;#A8A29F;40
17;#020EAD;20
17;#BD60AA;20
17;#8C0001;10
17;#C6C5B8;50
18;#004100;20
18;#A9BA51;30
18;#D4C19E;50
19;#816454;40
19;#FE3C00;20
19;#FEE3C4;40
20;#920E02;10
20;#9949E0;20
20;#9BBE64;30
20;#C7D7D7;40
21;#FFE001;30
21;#4D6044;10
21;#A0b0A4;60
22;#F4E69F;40
22;#483F20;10
22;#9C86E9;20
22;#B9CA27;30
23;#C680BE;20
23;#1C89A3;10
23;#E22973;20
23;#5DB988;50
24;#60B801;30
24;#572009;10
24;#FDDE8C;60
